105年06月23日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價指數,"10,060.94",－,44.07,-0.44
發行量加權股價指數,"8,676.68",－,39.57,-0.45
臺灣50指數,"6,469.79",－,33.92,-0.52
臺灣中型100指數,"6,108.71",－,22.65,-0.37
臺灣資訊科技指數,"7,750.31",－,76.24,-0.97
臺灣發達指數,"7,437.05",－,5.63,-0.08
臺灣高股息指數,"5,286.70",－,42.04,-0.79
臺灣就業99指數,"5,214.04",－,32.45,-0.62
臺灣高薪100指數,"4,768.07",－,14.23,-0.30
臺灣低波動高股息指數,"1,310.54",－,4.48,-0.34
未含金融保險股指數,"7,382.40",－,34.15,-0.46
未含電子股指數,"12,198.07",－,61.10,-0.50
未含金融電子股指數,"10,666.47",－,57.12,-0.53
水泥窯製類指數,414.94,－,7.09,-1.68
塑膠化工類指數,777.58,－,5.21,-0.67
機電類指數,"1,972.21",－,8.33,-0.42
水泥類指數,107.95,－,1.92,-1.75
食品類指數,"1,495.16",－,5.43,-0.36
塑膠類指數,221.56,－,1.72,-0.77
紡織纖維類指數,465.79,－,2.82,-0.60
電機機械類指數,156.33,－,0.96,-0.61
電器電纜類指數,31.30,－,0.01,-0.03
化學生技醫療類指數,98.49,＋,0.01,0.01
化學類指數,93.01,＋,0.13,0.14
生技醫療類指數,74.54,－,0.09,-0.12
玻璃陶瓷類指數,36.53,－,0.50,-1.35
造紙類指數,157.62,＋,0.06,0.04
鋼鐵類指數,83.77,＋,0.04,0.05
橡膠類指數,329.91,－,3.69,-1.11
汽車類指數,232.63,－,0.97,-0.42
電子類指數,350.23,－,1.46,-0.42
半導體類指數,118.76,－,1.24,-1.03
電腦及週邊設備類指數,93.04,－,0.38,-0.41
光電類指數,30.54,＋,0.06,0.20
通信網路類指數,126.86,－,0.52,-0.41
電子零組件類指數,75.45,－,0.16,-0.21
電子通路類指數,103.38,－,0.40,-0.39
資訊服務類指數,80.42,－,0.62,-0.77
其他電子類指數,80.45,＋,0.96,1.21
建材營造類指數,245.40,－,0.84,-0.34
航運類指數,61.57,－,0.40,-0.65
觀光類指數,115.01,－,0.36,-0.31
金融保險類指數,956.08,－,3.93,-0.41
貿易百貨類指數,215.87,－,0.50,-0.23
油電燃氣類指數,112.92,－,1.07,-0.94
其他類指數,234.78,－,0.24,-0.10
報酬指數系列,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價報酬指數,"10,782.32",－,42.13,-0.39
發行量加權股價報酬指數,"13,751.30",－,55.76,-0.40
臺灣50報酬指數,"10,362.46",－,47.77,-0.46
臺灣中型100報酬指數,"9,134.18",－,33.86,-0.37
臺灣資訊科技報酬指數,"11,805.07",－,100.71,-0.85
臺灣發達報酬指數,"10,750.68",－,8.15,-0.08
臺灣高股息報酬指數,"9,414.91",－,55.34,-0.58
臺灣就業99報酬指數,"6,177.30",－,23.47,-0.38
臺灣高薪100報酬指數,"5,016.40",－,14.97,-0.30
臺灣低波動高股息報酬指數,"2,708.20",－,9.27,-0.34
未含金融電子股報酬指數,"16,973.33",－,90.74,-0.53
水泥類報酬指數,151.88,－,2.69,-1.74
食品類報酬指數,"1,777.58",－,6.44,-0.36
塑膠類報酬指數,282.73,－,2.20,-0.77
紡織纖維類報酬指數,588.30,－,3.57,-0.60
電機機械類報酬指數,194.87,－,1.20,-0.61
電器電纜類報酬指數,35.79,－,0.01,-0.03
化學生技醫療類報酬指數,123.74,＋,0.01,0.01
化學類報酬指數,120.06,＋,0.16,0.13
生技醫療類報酬指數,88.78,－,0.12,-0.13
玻璃陶瓷類報酬指數,39.23,－,0.54,-1.36
造紙類報酬指數,188.16,＋,0.07,0.04
鋼鐵類報酬指數,108.19,＋,0.06,0.06
橡膠類報酬指數,411.23,－,4.61,-1.11
汽車類報酬指數,283.73,－,1.18,-0.41
電子類報酬指數,509.78,－,1.66,-0.32
半導體類報酬指數,165.60,－,1.40,-0.84
電腦及週邊設備類報酬指數,141.11,－,0.57,-0.40
光電類報酬指數,37.19,＋,0.07,0.19
通信網路類報酬指數,203.25,－,0.84,-0.41
電子零組件類報酬指數,108.72,－,0.18,-0.17
電子通路類報酬指數,163.87,－,0.35,-0.21
資訊服務類報酬指數,128.74,－,0.99,-0.76
其他電子類報酬指數,97.05,＋,1.16,1.21
建材營造類報酬指數,337.20,－,1.15,-0.34
航運類報酬指數,74.15,－,0.47,-0.63
觀光類報酬指數,130.94,－,0.36,-0.27
金融保險類報酬指數,"1,238.92",－,5.08,-0.41
貿易百貨類報酬指數,263.12,－,0.60,-0.23
油電燃氣類報酬指數,135.76,－,1.28,-0.93
其他類報酬指數,312.22,－,0.32,-0.10
成交統計,成交金額(元),成交股數(股),成交筆數
1.一般股票,"52,692,476,412","1,332,569,776","527,895"
2.台灣存託憑證,"7,387,509","1,810,895",380
3.受益憑證,0,0,0
4.ETF,"6,620,338,443","299,505,041","34,143"
5.受益證券,"3,877,610","235,000",55
6.變更交易股票,"58,453,465","25,465,573","2,573"
7.認購(售)權證,"1,502,325,790","1,452,413,000","40,243"
8.轉換公司債,0,0,0
9.附認股權特別股,0,0,0
10.附認股權公司債,0,0,0
11.認股權憑證,0,0,0
12.公司債,0,0,0
證券合計(1+6),"52,750,929,877","1,358,035,349","530,468"
總計(1~12),"60,884,859,229","3,111,999,285","605,289"
