0050,1050706,6587558,431861376,65.45,65.75,65.35,65.70,0.80,2000
0051,1050706,10200,251760,24.76,24.76,24.64,24.64,0.12,8
0052,1050706,1000,40000,40.00,40.00,40.00,40.00,0.48,1
0053,1050706,11000,310580,28.13,28.40,28.13,28.26,0.35,9
0054,1050706,22000,449900,20.45,20.49,20.43,20.49,X,22
0055,1050706,125240,1574270,12.57,12.60,12.55,12.56,-0.01,50
0056,1050706,1546293,35284524,22.68,22.88,22.68,22.86,0.20,456
0057,1050706,11000,441510,40.18,40.22,40.07,40.07,0.28,4
0058,1050706,3000,110150,36.72,36.72,36.71,36.71,X,3
0059,1050706,8000,236640,29.75,29.79,29.35,29.35,-0.52,8
0061,1050706,2194200,35271210,16.06,16.13,16.00,16.03,-0.02,494
006203,1050706,1000,30580,30.58,30.58,30.58,30.58,0.25,1
006204,1050706,2000,86780,43.39,43.39,43.39,43.39,0.51,2
006205,1050706,4007000,108835830,27.16,27.30,27.05,27.12,,773
006206,1050706,572384,14785215,25.75,25.90,25.75,25.83,,152
006207,1050706,663000,13494020,20.35,20.40,20.29,20.32,-0.01,132
006208,1050706,3000,111000,37.00,37.00,37.00,37.00,0.03,3
00631L,1050706,11808500,240047520,20.20,20.42,20.20,20.41,0.50,1746
00632R,1050706,69051000,1257815244,18.27,18.27,18.17,18.21,-0.18,9210
00633L,1050706,32057540,977481729,30.65,30.67,30.30,30.39,-0.05,5851
00634R,1050706,2419000,24523460,10.12,10.17,10.10,10.14,,271
00635U,1050706,2484000,55972760,22.54,22.58,22.51,22.52,-0.02,597
00636,1050706,2316000,36883630,15.95,15.99,15.86,15.88,-0.06,127
00637L,1050706,41541099,471726599,11.40,11.42,11.28,11.32,,4336
00638R,1050706,348000,6611510,18.93,19.04,18.93,18.99,-0.04,65
00639,1050706,4766200,47702080,10.04,10.05,9.96,10.00,-0.02,1472
00640L,1050706,16166400,194013428,12.02,12.09,11.92,11.95,0.03,1843
00641R,1050706,1373000,30925140,22.48,22.58,22.44,22.53,-0.07,158
00642U,1050706,15631642,293317120,18.75,18.80,18.71,18.77,0.27,2411
00643,1050706,3330000,52392270,15.77,15.81,15.63,15.69,-0.07,668
00645,1050706,1378000,21528460,15.62,15.67,15.58,15.58,-0.01,92
00646,1050706,183000,3679100,20.05,20.11,20.05,20.11,0.18,47
00647L,1050706,324000,6683530,20.55,20.67,20.55,20.65,0.42,32
00648R,1050706,4751000,90312680,19.05,19.05,18.99,18.99,-0.21,902
00649,1050706,76000,1189800,15.58,15.72,15.58,15.67,0.19,12
00650L,1050706,1309000,22702080,17.10,17.48,17.10,17.35,0.38,233
00651R,1050706,275000,3652120,13.29,13.35,13.25,13.27,-0.21,85
00652,1050706,863000,18063190,20.95,20.95,20.92,20.94,0.09,30
00653L,1050706,1275000,28601760,22.40,22.50,22.37,22.49,0.19,182
00654R,1050706,1192000,21998460,18.52,18.52,18.41,18.45,-0.07,79
00655L,1050706,3487000,73583020,21.18,21.22,20.96,21.06,0.04,275
00656R,1050706,453000,8549820,18.87,18.91,18.81,18.85,-0.02,22
00657,1050706,744000,13910740,18.68,18.72,18.61,18.61,-0.03,24
00658L,1050706,2942000,52208630,17.77,17.88,17.63,17.71,0.08,346
00659R,1050706,761000,15659110,20.58,20.65,20.51,20.59,-0.07,37
00660,1050706,277000,5343330,19.22,19.33,19.22,19.33,-0.01,74
00661,1050706,1190000,23134070,19.43,19.48,19.38,19.41,0.06,46
00662,1050706,1821000,36254570,19.91,19.94,19.88,19.90,0.22,177
008201,1050706,3700,298380,81.00,81.00,80.15,80.75,0.50,17
01001T,1050706,27000,434700,16.10,16.10,16.10,16.10,,7
01002T,1050706,62000,1039760,16.77,16.80,16.76,16.77,,20
01003T,1050706,1028000,14114220,13.73,13.73,13.71,13.73,,11
01004T,1050706,1000,13590,13.59,13.59,13.59,13.59,,1
01007T,1050706,4000,64460,16.12,16.12,16.11,16.11,-0.02,3
03001P,1050706,470000,191700,0.39,0.42,0.39,0.41,,15
03001X,1050706,0,0,--,--,--,--,,0
03002P,1050706,0,0,--,--,--,--,,0
03003P,1050706,0,0,--,--,--,--,,0
03003X,1050706,0,0,--,--,--,--,,0
03004P,1050706,91000,79410,0.86,0.94,0.84,0.88,-0.01,7
03004X,1050706,0,0,--,--,--,--,,0
03005P,1050706,383000,225600,0.58,0.60,0.58,0.59,-0.02,5
03005X,1050706,22000,281100,13.00,13.00,12.70,12.70,-0.20,3
03006P,1050706,0,0,--,--,--,--,,0
03006X,1050706,18000,275100,15.40,15.40,15.20,15.20,-0.10,7
03007P,1050706,0,0,--,--,--,--,,0
03007X,1050706,51000,433600,8.60,8.60,8.50,8.50,X,2
03008P,1050706,0,0,--,--,--,--,,0
03009P,1050706,0,0,--,--,--,--,,0
03009X,1050706,0,0,--,--,--,--,,0
03010P,1050706,0,0,--,--,--,--,,0
03010X,1050706,34000,999700,29.40,29.50,29.40,29.50,0.30,4
03011P,1050706,0,0,--,--,--,--,,0
03012P,1050706,0,0,--,--,--,--,,0
03012X,1050706,57000,316600,5.55,5.60,5.55,5.55,,5
03013P,1050706,0,0,--,--,--,--,,0
03013X,1050706,15000,67500,4.50,4.50,4.50,4.50,,1
03014P,1050706,0,0,--,--,--,--,,0
03014X,1050706,0,0,--,--,--,--,,0
03015P,1050706,581000,892670,1.48,1.55,1.48,1.54,-0.05,15
03015X,1050706,17000,175100,10.30,10.30,10.30,10.30,X,2
03016P,1050706,0,0,--,--,--,--,,0
03016X,1050706,106000,156020,1.49,1.49,1.46,1.46,-0.01,9
03017P,1050706,78000,148200,1.90,1.90,1.90,1.90,-0.10,1
03017X,1050706,3000,4440,1.48,1.48,1.48,1.48,0.01,1
03018P,1050706,60000,14000,0.22,0.25,0.22,0.23,X,3
03018X,1050706,0,0,--,--,--,--,,0
03019P,1050706,198000,1980,0.01,0.01,0.01,0.01,,2
03019X,1050706,6000,11220,1.87,1.87,1.87,1.87,0.03,1
03020P,1050706,20000,3000,0.15,0.15,0.15,0.15,-0.05,2
03020X,1050706,2000,4310,2.16,2.16,2.15,2.15,-0.01,2
03021P,1050706,34751000,2676320,0.10,0.10,0.07,0.07,-0.04,347
03021X,1050706,1000,9950,9.95,9.95,9.95,9.95,0.35,1
03022P,1050706,96000,85440,0.89,0.89,0.89,0.89,-0.04,1
03022X,1050706,1000,15000,15.00,15.00,15.00,15.00,0.10,1
03023P,1050706,322000,341920,1.05,1.09,1.05,1.09,,5
03023X,1050706,10000,143000,14.30,14.30,14.30,14.30,X,1
03024P,1050706,565000,415590,0.74,0.74,0.70,0.70,-0.12,9
03024X,1050706,0,0,--,--,--,--,,0
03025P,1050706,0,0,--,--,--,--,,0
03025X,1050706,4000,68000,17.00,17.00,17.00,17.00,0.30,2
03026P,1050706,0,0,--,--,--,--,,0
03026X,1050706,15000,62650,4.19,4.19,4.17,4.17,X,2
03027P,1050706,0,0,--,--,--,--,,0
03027X,1050706,0,0,--,--,--,--,,0
03028P,1050706,0,0,--,--,--,--,,0
03028X,1050706,0,0,--,--,--,--,,0
03029P,1050706,0,0,--,--,--,--,,0
03029X,1050706,54000,601800,11.10,11.20,11.10,11.20,0.10,7
03030P,1050706,12000,960,0.08,0.08,0.08,0.08,-0.03,2
03031P,1050706,0,0,--,--,--,--,,0
03031X,1050706,0,0,--,--,--,--,,0
03032P,1050706,0,0,--,--,--,--,,0
03032X,1050706,102000,415070,3.90,4.17,3.90,4.07,0.21,3
03033P,1050706,532000,71360,0.13,0.14,0.13,0.14,-0.01,9
03033X,1050706,171000,897300,5.40,5.40,5.20,5.20,-0.10,13
03034P,1050706,0,0,--,--,--,--,,0
03035P,1050706,10000,1000,0.10,0.10,0.10,0.10,-0.03,1
03035X,1050706,1000,4650,4.65,4.65,4.65,4.65,0.05,1
03036P,1050706,779000,429630,0.56,0.57,0.53,0.53,-0.07,18
