105年07月12日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價指數,"10,232.69",＋,61.96,0.61
發行量加權股價指數,"8,841.46",＋,54.99,0.63
臺灣50指數,"6,629.83",＋,52.16,0.79
臺灣中型100指數,"6,232.49",＋,18.54,0.30
臺灣資訊科技指數,"8,068.26",＋,28.86,0.36
臺灣發達指數,"7,589.02",＋,77.90,1.04
臺灣高股息指數,"5,480.44",＋,1.38,0.03
臺灣就業99指數,"5,260.97",＋,23.41,0.45
臺灣高薪100指數,"4,835.63",＋,32.18,0.67
臺灣低波動高股息指數,"1,352.29",－,3.30,-0.24
未含金融保險股指數,"7,559.40",＋,46.13,0.61
未含電子股指數,"12,267.77",＋,96.91,0.80
未含金融電子股指數,"10,812.73",＋,88.78,0.83
水泥窯製類指數,429.27,－,2.67,-0.62
塑膠化工類指數,792.94,＋,10.86,1.39
機電類指數,"2,029.64",＋,9.60,0.48
水泥類指數,112.55,－,0.73,-0.64
食品類指數,"1,527.78",＋,9.02,0.59
塑膠類指數,227.20,＋,4.87,2.19
紡織纖維類指數,481.14,＋,4.05,0.85
電機機械類指數,156.60,＋,0.47,0.30
電器電纜類指數,31.18,－,0.04,-0.13
化學生技醫療類指數,101.34,－,0.10,-0.10
化學類指數,94.41,－,0.37,-0.39
生技醫療類指數,77.88,＋,0.18,0.23
玻璃陶瓷類指數,36.16,－,0.18,-0.50
造紙類指數,156.43,,0.00,0.00
鋼鐵類指數,84.02,－,0.10,-0.12
橡膠類指數,323.92,－,0.50,-0.15
汽車類指數,232.89,－,0.05,-0.02
電子類指數,360.84,＋,1.74,0.48
半導體類指數,123.00,＋,0.34,0.28
電腦及週邊設備類指數,96.06,＋,0.88,0.92
光電類指數,32.04,＋,0.70,2.23
通信網路類指數,132.82,－,0.65,-0.49
電子零組件類指數,76.12,＋,0.08,0.11
電子通路類指數,108.43,＋,0.19,0.18
資訊服務類指數,81.52,－,0.01,-0.01
其他電子類指數,80.05,＋,0.94,1.19
